Hours Worked,Inflation,New CB-Supplied Money,Real Exchange Rate,Real Money Holdings,Non-Resource GDP,Public Capital Stock,Hours Worked (Flex. Price Model),Domestic Debt,Consumption,Domestic-to-Import Ratio (Intermediates),Gdp
0.0006821109736845,0.0006203394206217,-0.0066976724365112,-0.0002733166716717,-0.0090754267196074,0.0013227003880207,0.0021427485547349,0.0001975528715551,0.0029051711225893,-0.0007153684753071,-0.005218381781447,-0.0026741715767963
0.0005146856290031,0.0005609602106114,-0.0034345623995052,-0.0002026038285019,-0.0071259970004645,0.0011476507124623,0.0039184719157979,0.0001803598285462,0.0039975708235973,-0.0006900178921464,-0.0043909251517463,-0.0023981981817826
0.0003501753510068,0.000211665371079,-8.033982443853412e-05,-0.0002589215684046,-0.0041049535153787,0.001038455375072,0.0053696133616168,0.0001613139253265,0.0039939062734554,-0.0005910005659096,-0.004494820373395,-0.0022312325826968
0.0002042023737816,-3.464326229713599e-05,0.0018023621764103,-0.0003225292393877,-0.0020798623247934,0.0009441089970134,0.0065390296884677,0.0001405526815261,0.0036716704594296,-0.0004955552190885,-0.0046803214422057,-0.0020902679131372
0.0001063536180461,-0.0001597627168689,0.0024707284735445,-0.0003388405493648,-0.001002438912112,0.0008680754040722,0.0074701231480178,0.0001205882385535,0.0032496496732744,-0.0004162917614757,-0.0045551037334805,-0.0019150373092806
4.878579005456185e-05,-0.0002117459314603,0.002484609673095,-0.0003195659245866,-0.000463208098202,0.0008116683932633,0.0082031598665697,0.0001022492525213,0.0028332969063206,-0.0003498821512207,-0.0042016414781126,-0.0017090327303872
1.504860870609193e-05,-0.00022546262575,0.002182311310424,-0.000281363673849,-0.0001961632876257,0.0007648669764994,0.0087662505934695,8.641366515187875e-05,0.0024543760538323,-0.0002918018006938,-0.0037339867432373,-0.0015023250182441
-3.204088517647641e-06,-0.0002162585724929,0.0017278837897995,-0.0002352682068067,-8.553056363140854e-05,0.0007247971738319,0.0091837925612435,7.210956525219192e-05,0.002125924168365,-0.0002407510020804,-0.003229061082458,-0.0013041465167877
-1.250776129607889e-05,-0.0001966676377431,0.0012260683744389,-0.0001889058422008,-4.585990513896298e-05,0.0006876503436082,0.0094748803815711,5.93280899408466e-05,0.0018442563393311,-0.0001948473283066,-0.0027385497194352,-0.0011247530772254
-1.632106261571842e-05,-0.0001706898556118,0.0007177467302309,-0.0001468821884745,-5.3078319846529e-05,0.0006554672165371,0.0096594593205901,4.745443400017812e-05,0.0016070998399287,-0.0001540029977003,-0.0022956102805631,-0.0009602272767338
-1.7943913052898e-05,-0.0001435742791066,0.0002363472505195,-0.0001125571898889,-7.59480393485923e-05,0.0006290793632929,0.0097563310254639,3.668044222339794e-05,0.0014053455236408,-0.0001172679468483,-0.0019233447308961,-0.0008095363232763
-2.035048752614621e-05,-0.0001209874700653,-0.0001971468818046,-8.600736896756889e-05,-7.889914640339057e-05,0.0006023202807601,0.0097760700394022,2.770511798277031e-05,0.0012266267044449,-8.26265241021229e-05,-0.0016183719278866,-0.0006840397803399
-2.206946392750098e-05,-9.880355037099607e-05,-0.0006035028179444,-6.519436443183201e-05,-8.693589929640311e-05,0.0005761450218055,0.0097294580183936,1.954644842890651e-05,0.0010733167588291,-5.083940928445996e-05,-0.0013649262784281,-0.0005773291768053
-2.279561643275141e-05,-7.663998216992152e-05,-0.0009818902575819,-5.006898984365349e-05,-0.0001026592287334,0.0005527704037313,0.0096283170920087,1.199827171846302e-05,0.0009438986899674,-2.211437610347033e-05,-0.0011630623773393,-0.0004830625940403
-2.360585546642646e-05,-5.662923611912785e-05,-0.0013238818493038,-4.077103491658685e-05,-0.0001130141587719,0.0005315707657452,0.0094824579313093,5.387605765201365e-06,0.0008325568916123,4.217158203672078e-06,-0.0010130039207497,-0.0004019738874763
-2.479450379472059e-05,-3.877612353742732e-05,-0.0016334801985947,-3.632950348556374e-05,-0.0001176599917423,0.000511795838408,0.0092998096314339,-3.628782219156079e-07,0.0007362357604639,2.852013455459046e-05,-0.0009059389086745,-0.0003333900084427
-2.605328182074817e-05,-2.242538570837782e-05,-0.0019158877673587,-3.585697312753933e-05,-0.0001203232607325,0.0004934044305742,0.0090874168580746,-5.407770909031662e-06,0.000653519412331,5.082735776583247e-05,-0.0008348855357482,-0.0002753723766298
-2.722579860166441e-05,-7.445528839704618e-06,-0.0021733215565336,-3.869741314707187e-05,-0.0001212552057223,0.0004763372675096,0.0088514393076469,-9.818497323883513e-06,0.0005827856152762,7.130479050436067e-05,-0.0007943148149855,-0.0002265727915508
-2.848250788873408e-05,6.104579827483914e-06,-0.0024077166492053,-4.420275944195806e-05,-0.0001199209140477,0.0004601321454762,0.0085968417516171,-1.362552654710303e-05,0.0005222977637949,9.016502603887754e-05,-0.0007787138384648,-0.0001864134239135
-3.002517237173485e-05,1.826787632386528e-05,-0.0026220598268015,-5.161460681945673e-05,-0.000116793540434,0.0004443833339409,0.0083275535964371,-1.689670847750957e-05,0.0004706454976509,0.0001075789181145,-0.000781912166257,-0.0001542978863957
-3.080339272065746e-05,3.04144108695148e-05,-0.002819001466858,-6.075114709502283e-05,-0.000117770258134,0.000430445533745,0.0080485155829703,-1.985355470422778e-05,0.0004287075049991,0.0001232177462085,-0.0008029536355591,-0.0001264824536479
