Hours Worked,Inflation,New CB-Supplied Money,Real Exchange Rate,Real Money Holdings,Non-Resource GDP,Public Capital Stock,Hours Worked (Flex. Price Model),Domestic Debt,Consumption,Domestic-to-Import Ratio (Intermediates),Gdp
6.423004724506853e-05,-2.922258703063729e-05,0.0053183694741812,0.0009539981797965,4.478256256007285e-05,-0.0006533155760775,-0.0032039914583136,6.27992803527011e-05,0.0013108163523948,-0.0003550875231398,0.0072352866402862,-0.0009826294989703
6.427900780574536e-05,-6.017714943342245e-05,0.005734042093958,0.000924181511686,7.032107248011065e-05,-0.0006355764282341,-0.0032698504664614,7.012796602185123e-05,0.0011149805243529,-0.00037456335058,0.0069741850882484,-0.0008600101405402
6.688463123801559e-05,-8.612450739146293e-05,0.0060889464498315,0.0009007770562288,8.308098026804878e-05,-0.0006179366917494,-0.0033044489904121,7.598629297099535e-05,0.0009369458196855,-0.0003920049015418,0.0067650786679148,-0.0007444210550494
6.907431039741674e-05,-0.0001076407084934,0.0063825779973382,0.0008818064759536,7.745363524050753e-05,-0.0006017308419678,-0.003312732952373,8.071962562367308e-05,0.0007764027063521,-0.0004076538080481,0.0065917181968426,-0.000639463044216
7.049376836396615e-05,-0.0001258912645466,0.0066368698287708,0.0008656140013711,6.669661017739692e-05,-0.000586530737662,-0.0032987692685329,8.426375362714733e-05,0.000632586228431,-0.000421704612578,0.0064408160838631,-0.0005430844319074
7.286907253163388e-05,-0.0001426108037616,0.0068663997229824,0.0008516565167711,6.290353742286925e-05,-0.0005718443122565,-0.0032659280188584,8.681348816379497e-05,0.0005018461755734,-0.000433987110379,0.0063094853659483,-0.0004542247178827
7.586466802457892e-05,-0.0001573689508096,0.0070658883699228,0.0008399445096832,5.841557779390882e-05,-0.0005580181470248,-0.0032173726269774,8.857118321278002e-05,0.0003833156738526,-0.0004447218162928,0.0061980383643394,-0.000373299277535
7.855826910514896e-05,-0.000169888709886,0.0072344907235549,0.0008300988414463,4.84068508934854e-05,-0.0005451491808042,-0.0031558850520355,8.958632750358131e-05,0.0002768347404613,-0.0004542165407375,0.0061029420581729,-0.0002996133115867
8.104802828336588e-05,-0.0001811622849067,0.0073819323150228,0.000821638985342,4.05418645163369e-05,-0.0005330001155537,-0.0030838892271144,8.999262913243377e-05,0.000180406152846,-0.0004624075618676,0.0060204993251503,-0.0002325949050608
8.309929569396246e-05,-0.0001912300917735,0.0075083997132606,0.0008144531479653,3.32835391542563e-05,-0.000521508690166,-0.0030034927445523,8.985771513938534e-05,9.306974293898929e-05,-0.000469424276608,0.0059496564375821,-0.0001716125652646
