Hours Worked,Inflation,New CB-Supplied Money,Real Exchange Rate,Real Money Holdings,Non-Resource GDP,Public Capital Stock,Hours Worked (Flex. Price Model),Domestic Debt,Consumption,Domestic-to-Import Ratio (Intermediates),Gdp
-0.0003656413277923,-0.0005647507278304,0.000134948541476,0.0001697698863594,0.0023156239421573,-0.0006533256745747,-0.0007471518004099,0.0002288213241576,0.0004023183131589,0.0004211883623505,0.0022886699091175,-0.0035404086883864
-7.013225105503729e-05,0.000294118609626,-0.0025764048382941,0.0006672038899336,-0.0016817217302413,-0.0006110811496937,-0.0013321654857766,-1.117473749565168e-05,0.0024964191818114,0.0002105774625596,0.0057297050230625,-0.0027072771408672
2.938918516079969e-05,0.0002481539706619,-0.0008090501658704,0.0007063069370016,-0.0006531116510622,-0.0005344610574123,-0.0018023899564053,-5.160498620292664e-05,0.0031436984751032,0.0001708245480784,0.0059142068228311,-0.0023238405452738
1.922774035345576e-05,0.0001392189242031,0.0006245523074084,0.000596296786871,0.0003175963526253,-0.0004956203006346,-0.0021892661054044,-5.905471017116692e-05,0.0032610294701341,0.0001549547821477,0.0050401702781053,-0.0021435752315727
-1.23749112591609e-05,5.229206437560307e-05,0.0014714079385704,0.0004681854371512,0.00091612633756,-0.0004674237446407,-0.00250684457247,-5.985239768200312e-05,0.0031305425934527,0.0001439106386766,0.0040449778202094,-0.0020142813288871
-3.830580575734821e-05,-5.714440459023695e-06,0.0019052552984826,0.0003576001848607,0.0012344931600694,-0.0004396989540208,-0.002762699514822,-5.921446140454645e-05,0.0029047948864846,0.0001333379812415,0.0031828754132933,-0.001888095338591
-5.398122752704904e-05,-3.964206742644416e-05,0.0020678674369321,0.0002708205138341,0.0013587752837539,-0.0004122863047907,-0.0029641023152368,-5.767073325562145e-05,0.002654082190123,0.0001225187996224,0.0024989636098761,-0.0017621255499608
-6.0794238406503e-05,-5.526639480001983e-05,0.0020710940691843,0.0002053932400688,0.0013585352058561,-0.0003853153371408,-0.0031172989881531,-5.592973775805809e-05,0.0024130019601836,0.0001109551297094,0.0019742041165687,-0.001635158045635
-6.20479930519613e-05,-6.053201465416657e-05,0.0019963542923247,0.0001561356836673,0.0012944946795112,-0.0003596032063992,-0.0032285008387499,-5.390728789639087e-05,0.0021917560811562,9.93465054640108e-05,0.0015710216657786,-0.0015121901544092
-5.937480928972949e-05,-5.982272638523467e-05,0.0018935112653557,0.0001185755350375,0.0012031288385798,-0.000334795166704,-0.0033026766779802,-5.198635012274799e-05,0.0019929669898953,8.769966470393964e-05,0.0012561726524108,-0.0013920752270443
-5.439269861302165e-05,-5.677846959629029e-05,0.0017886360019759,8.885189799152205e-05,0.0011064001518284,-0.0003109246136104,-0.0033441379421492,-5.010953393269624e-05,0.0018126560878242,7.62693245206858e-05,0.0010014496638202,-0.0012757625638588
-5.004762854679879e-05,-5.38782706307428e-05,0.0016855947373015,6.477455499910634e-05,0.0010110818748098,-0.000289757445793,-0.003358406335001,-4.772054893622535e-05,0.0016471500510899,6.590447961077884e-05,0.0007922546125148,-0.0011718679584967
-4.573530156860351e-05,-5.015252819285055e-05,0.0015890251663197,4.594912597790435e-05,0.0009177626231187,-0.0002705747373189,-0.0033498244298829,-4.541927932867118e-05,0.0014986442434641,5.617614440387886e-05,0.0006244000884619,-0.0010766091654786
-4.087996803908922e-05,-4.631282114787139e-05,0.0015059864535698,3.111065773932498e-05,0.0008324325949439,-0.00025251098274,-0.0033215595504311,-4.331748924826684e-05,0.0013650195116242,4.691038383302093e-05,0.0004878733717553,-0.0009865613396146
-3.625499092924312e-05,-4.332141239506093e-05,0.0014356631062149,1.907269768891884e-05,0.0007568710945701,-0.000235898183078,-0.0032767726672601,-4.114748239773203e-05,0.0012426215414127,3.834171803901887e-05,0.0003744671301813,-0.0009035911074696
-3.213816440091666e-05,-4.07792264226492e-05,0.0013740285775971,9.460692210706556e-06,0.0006876158844331,-0.0002207972970308,-0.0032183583030951,-3.8977055644418e-05,0.001130559287254,3.039695574253098e-05,0.0002811801039387,-0.0008276581639981
-2.836602416620426e-05,-3.860501101935476e-05,0.0013207936651776,2.042249617776326e-06,0.000624733577648,-0.0002069941450691,-0.0031488001428111,-3.684698446911661e-05,0.0010280250249319,2.302238498582687e-05,0.0002060533536355,-0.0007578798354364
-2.490813660657398e-05,-3.675051636097937e-05,0.0012748451597336,-3.466317896745341e-06,0.0005675114405674,-0.0001943455341269,-0.0030702489544753,-3.477122197744542e-05,0.0009341989542809,1.617441487288262e-05,0.0001467713751601,-0.000693640688632
-2.185995434788701e-05,-3.52202041584948e-05,0.0012350208235705,-7.340708926020234e-06,0.0005153276047308,-0.0001828194686911,-0.0029846506178876,-3.272388384073288e-05,0.0008483282941411,9.850918849112488e-06,0.0001011906726705,-0.0006348282950255
-1.924032497387263e-05,-3.398984397790184e-05,0.001200492359424,-9.741719727793807e-06,0.0004678292446181,-0.0001723916951541,-0.0028937805279938,-3.070232147623919e-05,0.0007699049800578,4.054021659936069e-06,6.806489134080884e-05,-0.0005813697423856
-1.636949112853614e-05,-3.278228657175753e-05,0.0011723000676366,-1.087970704850116e-05,0.0004252385821891,-0.0001625200775012,-0.002798755046683,-2.888896309291233e-05,0.0006985499194043,-1.427710748049815e-06,4.526900391458533e-05,-0.0005307820980333
-1.396191938072722e-05,-3.20026016816155e-05,0.0011478824316419,-1.120503546919727e-05,0.0003866268342078,-0.0001535795877555,-0.0027009127874736,-2.703794810208659e-05,0.0006327261809146,-6.433590995311711e-06,2.986036362315758e-05,-0.0004848303023401
